Date,Close
2020/3/14,5417.30 
2020/3/13,5625.40 
2020/3/12,4927.00 
2020/3/11,7969.60 
2020/3/10,7913.80 
2020/3/9,7967.30 
2020/3/8,8074.00 
2020/3/7,8919.00 
2020/3/6,9180.60 
2020/3/5,9090.80 
2020/3/4,8788.58 
2020/3/3,8791.10 
2020/3/2,8938.10 
2020/3/1,8565.20 
2020/2/29,8557.30 
2020/2/28,8728.00 
2020/2/27,8825.80 
2020/2/26,8813.20 
2020/2/25,9327.53 
2020/2/24,9674.10 
2020/2/23,9985.00 
2020/2/22,9662.40 
2020/2/21,9693.46 
2020/2/20,9608.10 
2020/2/19,9592.20 
2020/2/18,10183.00 
2020/2/17,9708.00 
2020/2/16,9929.70 
2020/2/15,9901.00 
2020/2/14,10335.00 
2020/2/13,10222.00 
2020/2/12,10339.00 
2020/2/11,10247.00 
2020/2/10,9850.20 
2020/2/9,10151.00 
2020/2/8,9877.20 
2020/2/7,9805.20 
2020/2/6,9744.90 
2020/2/5,9612.00 
2020/2/4,9197.40 
2020/2/3,9309.30 
2020/2/2,9353.10 
2020/2/1,9410.60 
2020/1/31,9367.40 
2020/1/30,9512.70 
2020/1/29,9304.20 
2020/1/28,9393.70 
2020/1/27,8912.00 
2020/1/26,8621.60 
2020/1/25,8353.70 
2020/1/24,8447.10 
2020/1/23,8403.50 
2020/1/22,8663.90 
2020/1/21,8734.10 
2020/1/20,8638.20 
2020/1/19,8694.00 
2020/1/18,8891.50 
2020/1/17,8875.40 
2020/1/16,8720.60 
2020/1/15,8807.70 
2020/1/14,8775.60 
2020/1/13,8094.54 
2020/1/12,8174.70 
2020/1/11,8013.80 
2020/1/10,8176.30 
2020/1/9,7817.45 
2020/1/8,8036.80 
2020/1/7,8150.00 
2020/1/6,7757.90 
2020/1/5,7364.60 
2020/1/4,7369.83 
2020/1/3,7367.50 
2020/1/2,6989.40 
2020/1/1,7212.70 
2019/12/31,7208.30 
2019/12/30,7260.90 
2019/12/29,7417.90 
2019/12/28,7334.39 
2019/12/27,7286.96 
2019/12/26,7232.40 
2019/12/25,7220.07 
2019/12/24,7276.90 
2019/12/23,7347.40 
2019/12/22,7532.00 
2019/12/21,7166.40 
2019/12/20,7212.93 
2019/12/19,7181.80 
2019/12/18,7323.41 
2019/12/17,6667.10 
2019/12/16,6926.80 
2019/12/15,7152.70 
2019/12/14,7100.80 
2019/12/13,7283.15 
2019/12/12,7224.00 
2019/12/11,7230.72 
2019/12/10,7254.60 
2019/12/9,7379.52 
2019/12/8,7564.60 
2019/12/7,7543.20 
2019/12/6,7588.30 
2019/12/5,7440.00 
2019/12/4,7238.21 
2019/12/3,7336.02 
2019/12/2,7350.26 
2019/12/1,7450.10 
2019/11/30,7599.88 
2019/11/29,7796.60 
2019/11/28,7460.80 
2019/11/27,7549.30 
2019/11/26,7198.30 
2019/11/25,7168.00 
2019/11/24,6965.30 
2019/11/23,7352.60 
2019/11/22,7323.00 
2019/11/21,7671.10 
2019/11/20,8126.40 
2019/11/19,8164.90 
2019/11/18,8219.50 
2019/11/17,8537.30 
2019/11/16,8523.50 
2019/11/15,8495.83 
2019/11/14,8655.70 
2019/11/13,8801.10 
2019/11/12,8830.00 
2019/11/11,8737.71 
2019/11/10,9068.40 
2019/11/9,8828.05 
2019/11/8,8782.36 
2019/11/7,9208.00 
2019/11/6,9353.00 
2019/11/5,9333.90 
2019/11/4,9441.20 
2019/11/3,9222.40 
2019/11/2,9332.12 
2019/11/1,9289.10 
2019/10/31,9185.60 
2019/10/30,9184.30 
2019/10/29,9445.50 
2019/10/28,9225.70 
2019/10/27,9571.80 
2019/10/26,9270.90 
2019/10/25,8679.10 
2019/10/24,7453.00 
2019/10/23,7493.68 
2019/10/22,8058.90 
2019/10/21,8243.90 
2019/10/20,8260.60 
2019/10/19,7992.90 
2019/10/18,7987.20 
2019/10/17,8092.26 
2019/10/16,8016.00 
2019/10/15,8191.10 
2019/10/14,8370.00 
2019/10/13,8305.70 
2019/10/12,8318.29 
2019/10/11,8280.00 
2019/10/10,8596.00 
2019/10/9,8607.50 
2019/10/8,8211.16 
2019/10/7,8227.00 
2019/10/6,7883.09 
2019/10/5,8162.50 
2019/10/4,8170.00 
2019/10/3,8257.89 
2019/10/2,8413.40 
2019/10/1,8334.90 
2019/9/30,8331.13 
2019/9/29,8090.00 
2019/9/28,8238.60 
2019/9/27,8213.40 
2019/9/26,8103.60 
2019/9/25,8474.70 
2019/9/24,8547.90 
2019/9/23,9702.60 
2019/9/22,10052.00 
2019/9/21,10013.00 
2019/9/20,10197.99 
2019/9/19,10301.00 
2019/9/18,10185.00 
2019/9/17,10214.08 
2019/9/16,10295.00 
2019/9/15,10321.98 
2019/9/14,10379.00 
2019/9/13,10374.00 
2019/9/12,10452.00 
2019/9/11,10175.00 
2019/9/10,10122.00 
2019/9/9,10318.00 
2019/9/8,10415.00 
2019/9/7,10488.00 
2019/9/6,10317.00 
2019/9/5,10578.73 
2019/9/4,10590.00 
2019/9/3,10641.00 
2019/9/2,10388.00 
2019/9/1,9779.10 
2019/8/31,9623.90 
2019/8/30,9601.00 
2019/8/29,9509.00 
2019/8/28,9727.40 
2019/8/27,10184.00 
2019/8/26,10377.00 
2019/8/25,10132.00 
2019/8/24,10152.00 
2019/8/23,10408.00 
2019/8/22,10117.00 
2019/8/21,10146.00 
2019/8/20,10793.00 
2019/8/19,10937.00 
2019/8/18,10327.00 
2019/8/17,10228.00 
2019/8/16,10366.00 
2019/8/15,10327.00 
2019/8/14,10067.00 
2019/8/13,10904.01 
2019/8/12,11404.00 
2019/8/11,11586.00 
2019/8/10,11314.00 
2019/8/9,11893.00 
2019/8/8,12060.00 
2019/8/7,11997.00 
2019/8/6,11471.20 
2019/8/5,11808.00 
2019/8/4,10973.00 
2019/8/3,10822.00 
2019/8/2,10519.00 
2019/8/1,10399.01 
2019/7/31,10088.00 
2019/7/30,9589.00 
2019/7/29,9507.00 
2019/7/28,9519.00 
2019/7/27,9465.70 
2019/7/26,9842.50 
2019/7/25,9890.10 
2019/7/24,9771.00 
2019/7/23,9854.90 
2019/7/22,10329.00 
2019/7/21,10569.43 
2019/7/20,10740.00 
2019/7/19,10519.00 
2019/7/18,10622.00 
2019/7/17,9683.20 
2019/7/16,9410.00 
2019/7/15,10820.00 
2019/7/14,10206.84 
2019/7/13,11312.00 
2019/7/12,11765.00 
2019/7/11,11340.00 
2019/7/10,12093.00 
2019/7/9,12553.00 
2019/7/8,12301.00 
2019/7/7,11486.00 
2019/7/6,11283.00 
2019/7/5,10998.00 
2019/7/4,11169.00 
2019/7/3,11984.00 
2019/7/2,10866.00 
2019/7/1,10639.00 
2019/6/30,10745.00 
2019/6/29,11921.00 
2019/6/28,12349.00 
2019/6/27,11200.00 
2019/6/26,12876.00 
2019/6/25,11751.00 
2019/6/24,11053.00 
2019/6/23,10916.00 
2019/6/22,10747.95 
2019/6/21,10236.00 
2019/6/20,9557.10 
2019/6/19,9305.90 
2019/6/18,9095.90 
2019/6/17,9356.00 
2019/6/16,8985.99 
2019/6/15,8856.00 
2019/6/14,8689.10 
2019/6/13,8227.40 
2019/6/12,8175.40 
2019/6/11,7904.10 
2019/6/10,8013.67 
2019/6/9,7639.20 
2019/6/8,7924.60 
2019/6/7,7991.50 
2019/6/6,7805.60 
2019/6/5,7789.30 
2019/6/4,7692.81 
2019/6/3,8103.40 
2019/6/2,8740.00 
2019/6/1,8547.00 
2019/5/31,8533.30 
2019/5/30,8269.91 
2019/5/29,8680.90 
2019/5/28,8740.90 
2019/5/27,8806.00 
2019/5/26,8729.90 
2019/5/25,8054.90 
2019/5/24,7994.90 
2019/5/23,7872.40 
2019/5/22,7621.10 
2019/5/21,7937.00 
2019/5/20,7985.00 
2019/5/19,8189.50 
2019/5/18,7260.00 
2019/5/17,7415.40 
2019/5/16,7857.00 
2019/5/15,8132.90 
2019/5/14,7958.30 
2019/5/13,7753.20 
2019/5/12,6979.90 
2019/5/11,7136.40 
2019/5/10,6438.70 
2019/5/9,6258.40 
2019/5/8,6201.00 
2019/5/7,6087.90 
2019/5/6,6027.90 
2019/5/5,6042.00 
2019/5/4,6098.30 
2019/5/3,6016.00 
2019/5/2,5723.80 
2019/5/1,5629.60 
2019/4/30,5599.52 
2019/4/29,5480.10 
2019/4/28,5486.80 
2019/4/27,5401.80 
2019/4/26,5410.80 
2019/4/25,5219.00 
2019/4/24,5480.30 
2019/4/23,5550.90 
2019/4/22,5417.80 
2019/4/21,5321.90 
2019/4/20,5340.04 
2019/4/19,5314.00 
2019/4/18,5310.80 
2019/4/17,5254.50 
2019/4/16,5234.30 
2019/4/15,5049.23 
2019/4/14,5194.30 
2019/4/13,5101.80 
2019/4/12,5114.00 
2019/4/11,5065.80 
2019/4/10,5311.70 
2019/4/9,5216.30 
2019/4/8,5312.50 
2019/4/7,5238.10 
2019/4/6,5090.50 
2019/4/5,5080.40 
2019/4/4,4938.90 
2019/4/3,4978.00 
2019/4/2,4927.10 
2019/4/1,4196.80 
2019/3/31,4167.60 
2019/3/30,4165.10 
2019/3/29,4179.00 
2019/3/28,4092.57 
2019/3/27,4102.50 
2019/3/26,3991.70 
2019/3/25,3970.00 
2019/3/24,4041.40 
2019/3/23,4063.20 
2019/3/22,4045.30 
2019/3/21,4044.80 
2019/3/20,4127.16 
2019/3/19,4104.70 
2019/3/18,4073.50 
2019/3/17,4068.90 
2019/3/16,4087.99 
2019/3/15,4003.13 
2019/3/14,3948.30 
2019/3/13,3947.90 
2019/3/12,3954.10 
2019/3/11,3949.00 
2019/3/10,4000.00 
2019/3/9,4017.33 
2019/3/8,3940.50 
2019/3/7,3964.70 
2019/3/6,3951.40 
2019/3/5,3951.60 
2019/3/4,3800.00 
2019/3/3,3884.80 
2019/3/2,3913.00 
2019/3/1,3914.00 
2019/2/28,3894.00 
2019/2/27,3902.70 
2019/2/26,3896.80 
2019/2/25,3921.80 
2019/2/24,3832.00 
2019/2/23,4211.70 
2019/2/22,4058.30 
2019/2/21,4008.80 
2019/2/20,4055.00 
2019/2/19,3989.90 
2019/2/18,3978.10 
2019/2/17,3734.50 
2019/2/16,3676.45 
2019/2/15,3670.00 
2019/2/14,3656.70 
2019/2/13,3666.10 
2019/2/12,3694.20 
2019/2/11,3681.08 
2019/2/10,3746.30 
2019/2/9,3718.40 
2019/2/8,3724.00 
2019/2/7,3436.10 
2019/2/6,3452.00 
2019/2/5,3512.60 
2019/2/4,3490.47 
2019/2/3,3501.70 
2019/2/2,3564.30 
2019/2/1,3536.20 
2019/1/31,3501.10 
2019/1/30,3529.60 
2019/1/29,3477.90 
2019/1/28,3501.89 
2019/1/27,3597.10 
2019/1/26,3630.70 
2019/1/25,3628.90 
2019/1/24,3652.60 
2019/1/23,3619.91 
2019/1/22,3639.10 
2019/1/21,3579.40 
2019/1/20,3586.10 
2019/1/19,3762.30 
2019/1/18,3675.70 
2019/1/17,3723.00 
2019/1/16,3671.20 
2019/1/15,3656.50 
2019/1/14,3749.30 
2019/1/13,3591.00 
2019/1/12,3702.00 
2019/1/11,3716.10 
2019/1/10,3712.80 
2019/1/9,4083.20 
2019/1/8,4100.00 
2019/1/7,4113.90 
2019/1/6,4171.50 
2019/1/5,3911.00 
2019/1/4,3954.90 
2019/1/3,3923.20 
2019/1/2,4048.50 
2019/1/1,3963.05 
2018/12/31,3830.50 
2018/12/30,3978.30 
2018/12/29,3887.00 
2018/12/28,4036.70 
2018/12/27,3714.70 
2018/12/26,3929.80 
2018/12/25,3909.70 
2018/12/24,4145.20 
2018/12/23,4075.70 
2018/12/22,4135.00 
2018/12/21,3976.10 
2018/12/20,4214.50 
2018/12/19,3810.00 
2018/12/18,3780.10 
2018/12/17,3625.10 
2018/12/16,3299.90 
2018/12/15,3285.10 
2018/12/14,3282.80 
2018/12/13,3354.40 
2018/12/12,3535.60 
2018/12/11,3435.29 
2018/12/10,3524.90 
2018/12/9,3639.60 
2018/12/8,3506.00 
2018/12/7,3460.00 
2018/12/6,3531.30 
2018/12/5,3765.30 
2018/12/4,3981.90 
2018/12/3,3901.20 
2018/12/2,4159.70 
2018/12/1,4243.00 
2018/11/30,4038.30 
2018/11/29,4312.90 
2018/11/28,4306.34 
2018/11/27,3884.40 
2018/11/26,3858.00 
2018/11/25,4087.80 
2018/11/24,3929.80 
2018/11/23,4422.70 
2018/11/22,4392.40 
